"notation","title","description","id"
"1","Schriftliche Prüfungsaufgabe",,
"1.1","Aufgabenarten",,
"1.1.1","Textbezogenes Schreiben",,
"1.1.1.1","Interpretation literarischer Texte","Ziel der Interpretation literarischer Texte ist im Kern, vor dem Hintergrund der Mehrdeutigkeit literarischer Texte ein eigenständiges Textverständnis zu entfalten und textnah sowie plausibel zu begründen (vgl. Abschnitt 2.4.1: „Sich mit literarischen Texten auseinandersetzen“). Es gehört zu den Bestandteilen einer Interpretation literarischer Texte, Inhalt, Aufbau und sprachliche Darstellung der Texte zu analysieren und die einzelnen Elemente in ihren Bezügen und Abhängigkeiten zu erfassen und zu deuten. Eine bloße Paraphrasierung des Textes oder ein distanzloser Umgang mit dem Text entsprechen nicht den Anforderungen. Je nach Aufgabenstellung sind auf der Basis literaturgeschichtlicher und gattungspoetologischer Kenntnisse weitere Zusammenhänge herzustellen. Der dabei entstehende Text dokumentiert die Interpretationsergebnisse auf der Grundlage der Analysebefunde. Dabei werden informierende, erklärende und argumentierende Textformen verwendet (vgl. Abschnitt 2.2.2: „In unterschiedlichen Textformen schreiben“). Ergänzende Grundlage der Interpretation kann auch ein audiovisueller Text sein, zum Beispiel ein Ausschnitt aus einer Theaterinszenierung.",
"1.1.1.2","Analyse pragmatischer Texte","""""Unter pragmatischen Texten werden im Weiteren solche verstanden, die sich in informierender, erklärender und argumentierender oder ähnlicher Weise mit Sachverhalten von Welt, Ideen oder Theorien auseinandersetzen. Pragmatische Texte sollen sich insbesondere auf domänenspezifische Sachverhalte beziehen.\n\n Ziel einer Analyse pragmatischer Texte ist im Kern, Inhalt, Struktur und sprachliche Mittel unter Angabe konkreter Textstellen so zu beschreiben, dass die Textentfaltung, die Argumentationsstrategie, die Intention oder ähnliche Textaspekte sichtbar werden (vgl. Abschnitt 2.4.2: „Sich mit pragmatischen Texten auseinandersetzen“). Es gehört zu den Bestandteilen einer ggf. auch vergleichenden Textanalyse, die jeweils relevanten Analyseaspekte zu ermitteln, soweit diese nicht durch die Aufgabenstellung vorgegeben sind. Der dabei entstehende Text soll strukturiert über den analysierten Text informieren (vgl. Abschnitt 2.2.2: „Informierend schreiben“) und die Analyseergebnisse verständlich erklären (vgl. Abschnitt 2.2.2: „Erklärend und argumentierend schreiben“).""""",
"1.1.1.3","Erörterung literarischer Texte","""""Ziel einer Erörterung literarischer Texte ist im Kern die argumentative Auseinandersetzung mit dem literarischen Text und den in ihm enthaltenen Herausforderungen und Fremdheitserfahrungen (vgl. Abschnitt 2.4.1 der Bildungsstandards: „Sich mit literarischen Texten auseinandersetzen“). Gegenstand sind literarische Texte, an denen zum Beispiel Fragen der literaturgeschichtlichen Einordnung von Texten, deren Rezeption und Wertung oder Aspekte und Probleme des literarischen Lebens erörtert werden können. Es gehört zu den Bestandteilen einer literarischen Erörterung, dass die jeweiligen Befunde auf der Grundlage der im Unterricht erworbenen Kenntnisse in Beziehung zu Wertvorstellungen, Welt- und Selbstkonzepten gesetzt werden. Der dabei entstehende Text besteht schwerpunktmäßig aus einer Argumentation. In diese müssen Befunde der Analyse und Interpretation des Ausgangstextes im Rahmen der Aufgabenstellung einbezogen werden. Literarische Erörterungen enthalten auch erklärende und informierende Anteile (vgl. Abschnitt 2.2.2: „In unterschiedlichen Textformen schreiben“). Ergänzende Grundlage der Erörterung kann auch ein audiovisueller Text sein, zum Beispiel ein Ausschnitt aus einer Theaterinszenierung.""""",
"1.1.1.4","Erörterung pragmatischer Texte","Ziel einer Erörterung pragmatischer Texte ist im Kern die argumentative Auseinandersetzung mit Problemgehalten pragmatischer Texte, nicht aber die detaillierte, umfassende Analyse dieser Texte. Der jeweils vorgelegte Text ist Grundlage und Ausgangspunkt für eine Erörterung darin enthaltener Auffassungen, Meinungen und Urteile (vgl. Abschnitt 2.4.2: „Sich mit pragmatischen Texten auseinandersetzen“). Voraussetzung ist, dass die Textvorlage etwas Strittiges behandelt und dies von den Prüflingen erkannt wird. Es gehört zu den Bestandteilen einer Texterörterung, die thematisierte Problemstellung erklärend und argumentierend zu entwickeln und die Prämissen der eigenen Argumentation zu reflektieren (vgl. Abschnitt 2.2.2: „Erklärend und argumentierend schreiben“). Der dabei entstehende Text besteht schwerpunktmäßig aus einer strukturiert entfalteten begründeten Stellungnahme. Texterörterungen enthalten auch informierende Anteile (vgl. Abschnitt 2.2.2: „Informierend schreiben“).",
"1.1.2","Materialgestütztes Schreiben",,
"1.1.2.1","Materialgestütztes Verfassen informierender Texte","Das materialgestützte Verfassen informierender Texte besteht im Kern darin, Leser über einen Sachverhalt so zu informieren (vgl. Abschnitt 2.2.2: „Informierend schreiben“), dass sie eine Vorstellung über seine wesentlichen Aspekte entwickeln können. Dabei nutzen die Prüflinge die vorgegebenen Materialien – auch Tabellen, Grafiken, Diagramme - ebenso wie eigene Wissensbestände. Der zu erstellende Text soll den jeweiligen Sachverhalt adressatenbezogen, zielorientiert und in kohärenter Weise darlegen. Informierende Texte enthalten immer auch erklärende Anteile (vgl. Abschnitt 2.2.2: „Erklärend und argumentierend schreiben“).",
"1.1.2.2","Materialgestütztes Verfassen argumentierender Texte","Das materialgestützte Verfassen argumentierender Texte besteht im Kern darin, zu strittigen oder erklärungsbedürftigen Fragen, Sachverhalten und Texten differenzierte Argumentationen zu entwickeln und diese strukturiert zu entfalten (vgl. Abschnitt 2.2.2: „Erklärend und argumentierend schreiben“). Dabei nutzen die Schülerinnen und Schüler die vorgegebenen Materialien und die Ergebnisse eigener Analysen, Vergleiche und Untersuchungen ebenso wie eigene Wissensbestände und geeignete Argumentationsstrategien. Der dabei entstehende Text soll die Kontroverse sowie die Argumentation und die vom Prüfling eingenommene Position für den Adressaten des Textes nachvollziehbar machen. Argumentierende Texte enthalten immer auch erklärende und informierende Anteile (vgl. Abschnitt 2.2.2: „Informierend schreiben“).",
"1.2","Erstellung der Prüfungsaufgabe",,
"1.3","Bewertung der Prüfungsleistung","""""Die Notenbildung erfolgt auf der Grundlage der Gesamtwürdigung der erbrachten Leistung. Außerdem bilden sprachliche Ausdrucksfähigkeit, stilistische Gestaltung, Klarheit des Aufbaus und sprachliche Richtigkeit neben der inhaltlichen Darstellung und Argumentation eine wesentliche Grundlage für die Gesamtbewertung der schriftlichen Abiturarbeit.\n\nFür die kriterienorientierte Bewertung kommt den folgenden Aspekten besonderes Gewicht zu:""""",
"1.3.1","Erfüllung standardsprachlicher Normen",,
"1.3.2","sachliche Richtigkeit",,
"1.3.3","Schlüssigkeit der Aussagen",,
"1.3.4","Vielfalt der Gesichtspunkte und ihre jeweilige Bedeutsamkeit",,
"1.3.5","Differenziertheit des Verstehens und Darstellens",,
"1.3.6","Herstellen geeigneter Zusammenhänge",,
"1.3.7","Eigenständigkeit der Auseinandersetzung mit Sachverhalten und Problemstellungen",,
"1.3.8","argumentative Begründung eigener Urteile, Stellungnahmen und Wertungen",,
"1.3.9","Selbstständigkeit und Klarheit in Aufbau und Sprache",,
"1.3.10","Sicherheit im Umgang mit Fachsprache und -methoden",,
"2","Mündliche Prüfung","""""Kennzeichnend für die Anforderungen auch der mündlichen Abiturprüfung ist, dass sie in komplexer Weise Bezug nehmen auf die unterschiedlichen Kompetenzbereiche der Bildungsstandards im Fach Deutsch für die Allgemeine Hochschulreife. Die Prüfung verlangt einerseits Kompetenzen aus den Domänen „Sich mit Texten und Medien auseinandersetzen“ (vgl. Abschnitt 2.4) und „Sprache und Sprachgebrauch reflektieren“ (vgl. Abschnitt 2.5). Andererseits werden prozessbezogene Kompetenzen der Bereiche „Sprechen und Zuhören“ (vgl. Abschnitt 2.1) sowie in der Regel auch „Lesen“ (vgl. Abschnitt 2.3) gefordert.\n\nMündliche Prüfungen bestehen aus zwei Komponenten: einem vorbereiteten Vortrag des Prüflings und einem Prüfungsgespräch. Im Vortrag weist dieser an einem begrenzten Gegenstandsbereich seine fachlichen Kompetenzen nach; im Prüfungsgespräch geht es um größere fachliche und ggf. überfachliche Zusammenhänge.\n\nIm ersten Prüfungsteil können dem Prüfling ein bis zwei komplexe – zumindest für einen Teil textgestützte – Aufgabenstellungen schriftlich vorgelegt werden. Die Textvorlage soll in der Regel nicht mehr als 300 Wörter umfassen. Werden Filme, Hörtexte oder andere audiovisuelle Präsentationsformen eingesetzt, sollte eine Vorführdauer von drei Minuten nicht überschritten werden. Für die Bearbeitung wird in der Regel eine zwanzig- bis dreißigminütige Vorbereitungszeit gewährt. Der Prüfling soll seine Ergebnisse in einem zusammenhängenden Vortrag präsentieren, der – gestützt durch Aufzeichnungen – frei gehalten wird.\n\nDer im zweiten Teil geforderte Gesprächscharakter der mündlichen Prüfung verbietet das zusammenhanglose Abfragen von Kenntnissen bzw. den kurzschrittigen Dialog.\n\nDie unter 3.2.1.3 dargelegten Bewertungskriterien gelten sinngemäß auch für die mündliche Prüfung.\n\nFolgenden Aspekten kommt darüber hinaus besonderes Gewicht zu: """"",
"2.1","Sicherung und Zusammenfassung der Ergebnisse für die gestellte Aufgabe in einem strukturierten, prägnanten, anhand von Aufzeichnungen frei gehaltenen Kurzvortrag",,
"2.2","Führung eines themengebundenen Gesprächs",,
"2.3","Einsatz geeigneter Argumentationsformen und Flexibilität in der Reaktion auf Fragen und Impulse",,
"2.4","Darlegung eigenständiger sach- und problemgerechter Beurteilungen",,
"2.5","Einordnung in größere fachliche und ggf. überfachliche Zusammenhänge",,
"2.6","Verwendung einer präzisen, differenzierten, stilistisch angemessenen, adressaten- und normengerechten Ausdrucksweise unter adäquater Berücksichtigung der Fachsprache",,
"2.7","Klarheit und Verständlichkeit der Artikulation",,
